fold,region,arm,n,M_blocks,r2,mae
2020Q3,ATM,ET-12,939,9,-0.2334381963415053,0.06241709470713516
2020Q3,ATM,ET-20,939,9,-0.1346913513998118,0.05837420617678381
2020Q3,ATM,DynET,939,9,-0.09571598278840598,0.05749220364217245
2020Q3,ITM,ET-12,1821,9,-0.08314297200310516,0.06679558876441487
2020Q3,ITM,ET-20,1821,9,0.036078253271142335,0.06261276978583184
2020Q3,ITM,DynET,1821,9,0.10444843396446413,0.0599750996705106
2020Q3,deep_ITM,ET-12,4864,9,0.9205494013841629,0.09083219360402943
2020Q3,deep_ITM,ET-20,4864,9,0.9169652116662371,0.08965187815789451
2020Q3,deep_ITM,DynET,4864,9,0.9208052182378051,0.08469598335115111
2020Q4,deep_OTM,ET-12,5458,12,0.9439681747197919,0.06248102826859632
2020Q4,deep_OTM,ET-20,5458,12,0.953771177496263,0.055274330509343834
2020Q4,deep_OTM,DynET,5458,12,0.9503120012249795,0.05565671523451793
2020Q4,OTM,ET-12,1962,12,-1.6539421749173178,0.08415440990825689
2020Q4,OTM,ET-20,1962,12,-1.5331559267248198,0.08220034946992855
2020Q4,OTM,DynET,1962,12,-1.3817496725557725,0.07997711176860342
2020Q4,ATM,ET-12,1089,12,-1.8069679442191506,0.08837125576675833
2020Q4,ATM,ET-20,1089,12,-1.8454359881168108,0.0888908263085398
2020Q4,ATM,DynET,1089,12,-1.6509551635264597,0.08622621552800712
2020Q4,ITM,ET-12,1826,12,-0.6307991541480173,0.08225796591456748
2020Q4,ITM,ET-20,1826,12,-0.5648842739639082,0.08077788749726177
2020Q4,ITM,DynET,1826,12,-0.46881726115088074,0.07840947499452351
2020Q4,deep_ITM,ET-12,4665,12,0.9510305479086967,0.07281096265594846
2020Q4,deep_ITM,ET-20,4665,12,0.9552922833859686,0.06699873984137183
2020Q4,deep_ITM,DynET,4665,12,0.9562579017363924,0.06650742872240073
