fold,model,region,n,r2,mae
2020Q4,ET-aug,deep_OTM,4521,0.8479758251990475,0.0679319575624868
2020Q4,ET-aug,OTM,2544,-2.5243576473561347,0.10674938010613239
2020Q4,ET-aug,ATM,1358,-3.731829625009147,0.1163612599631808
2020Q4,ET-aug,ITM,2186,-2.221867567079417,0.11125016409423599
2020Q4,ET-aug,deep_ITM,4391,0.8173218079672482,0.09668561163060814
2020Q4,BF-varsel,deep_OTM,4521,0.876188585551912,0.060164585939457914
2020Q4,BF-varsel,OTM,2544,-1.8968185412710925,0.09665777387683451
2020Q4,BF-varsel,ATM,1358,-2.9552777672159882,0.10592154377024997
2020Q4,BF-varsel,ITM,2186,-1.8657828579895144,0.1046483244682066
2020Q4,BF-varsel,deep_ITM,4391,0.8196540594895496,0.09320005687846353
2020Q4,BF-corr,deep_OTM,4521,0.8416934209375493,0.06909687396590583
2020Q4,BF-corr,OTM,2544,-2.370779683113745,0.10424042642498806
2020Q4,BF-corr,ATM,1358,-3.577039717805868,0.1141616316407832
2020Q4,BF-corr,ITM,2186,-2.1424359455367314,0.1099872220529548
2020Q4,BF-corr,deep_ITM,4391,0.8008021172386728,0.09984021502514936
