seed,dataset,model,region,n,M,r2,mae
2024,2019 in-sample,RF,all,893,8,0.6129540870629526,0.07412837469925117
2024,2019 in-sample,RF,OTM,253,8,0.5723756954844881,0.07506286922293877
2024,2019 in-sample,RF,ATM,323,8,0.641988380255317,0.060018573546479485
2024,2019 in-sample,RF,ITM,294,8,0.5870344232912881,0.0862324555666342
2024,2017 European,Dynamic ET,all,1700,8,-0.35124630705809823,0.12670984478823508
2024,2017 European,Dynamic ET,OTM,412,8,0.10783599087374718,0.10452259779126208
2024,2017 European,Dynamic ET,ATM,772,8,-0.807371671755575,0.13347503751295323
2024,2017 European,Dynamic ET,ITM,494,8,-0.3627174985560957,0.1351509864372465
2024,2017 European,ET-aug,all,1700,8,-0.47204598997082736,0.13102126322941154
2024,2017 European,ET-aug,OTM,412,8,0.024882748480419048,0.10773029162621349
2024,2017 European,ET-aug,ATM,772,8,-1.0057586507808973,0.1388849744559584
2024,2017 European,ET-aug,ITM,494,8,-0.44214516474622556,0.13887423840080923
2024,2017 European,ET,all,1700,8,-0.5443854023968224,0.1328672289647057
2024,2017 European,ET,OTM,412,8,-0.006764468171031268,0.10609417157766982
2024,2017 European,ET,ATM,772,8,-1.0758446944060922,0.13924613507772013
2024,2017 European,ET,ITM,494,8,-0.5575103475473433,0.14574189722672018
2024,2017 European,RF,all,1700,8,-0.5631854353338681,0.13186214953923328
2024,2017 European,RF,OTM,412,8,-0.036200413543913124,0.10538211578866076
2024,2017 European,RF,ATM,772,8,-1.0663938839043352,0.13769261162795127
2024,2017 European,RF,ITM,494,8,-0.6031122427719808,0.14571102690948987
2024,"12,110 American",Dynamic ET,all,11563,8,-0.13577119517609204,0.1440901319948109
2024,"12,110 American",Dynamic ET,deep OTM,2524,8,0.06527750903480012,0.1361453610978606
2024,"12,110 American",Dynamic ET,OTM,1812,8,-0.17178652113657744,0.12669783050607064
2024,"12,110 American",Dynamic ET,ATM,1934,8,-0.4164145698965236,0.11895741685729055
2024,"12,110 American",Dynamic ET,ITM,1586,8,-0.28824224545973287,0.12557524188209318
2024,"12,110 American",Dynamic ET,deep ITM,3707,8,-0.6469829340919369,0.17903449100107874
2024,"12,110 American",ET-aug,all,11563,8,-0.19132261624894653,0.14652795546380692
2024,"12,110 American",ET-aug,deep OTM,2524,8,0.019655080591354568,0.13844857508755945
2024,"12,110 American",ET-aug,OTM,1812,8,-0.28754822899003196,0.13064938019370864
2024,"12,110 American",ET-aug,ATM,1934,8,-0.6073222935542419,0.1266973479741469
2024,"12,110 American",ET-aug,ITM,1586,8,-0.3937390296079193,0.1302410402654476
2024,"12,110 American",ET-aug,deep ITM,3707,8,-0.6575257193920079,0.1771046419619637
